case_key,preset,seed,solid_probability,trigger,predicted_raise_floor,recommended_rho_min_guarded,attempted_rho_mins_guarded,solve_converged_guarded,detector_false_keep,recorded_policy_time_s_guarded,post_solve_fallback_triggered,recommended_rho_min_full_label,attempted_rho_mins_full_label,solve_converged_full_label,solver_reported_converged,solve_iters,solve_final_rel_residual,recorded_policy_time_s_full_label,detector_predicted_raise,true_raise_floor,true_keep_original_floor,confusion_cell
cantilever_gpu_medium|43|250000,cantilever_gpu_medium,43,0.25,high_r50,1,0.001,1e-03,1,0,30.90185169999313,1,0.001,1e-12;1e-03,1,1,47,9.573335428810198e-07,153.60960609999995,True,True,False,TP
cantilever_gpu_medium|43|300000,cantilever_gpu_medium,43,0.3,keep,0,1e-12,1e-12,1,0,15.818903399987905,0,1e-12,1e-12,1,1,38,5.275059995573435e-07,23.77117339999984,False,False,True,TN
cantilever_gpu_medium|43|350000,cantilever_gpu_medium,43,0.35,keep,0,1e-12,1e-12,1,0,12.08516480000253,0,1e-12,1e-12,1,1,30,3.809748903043893e-07,11.166986800000018,False,False,True,TN
cantilever_gpu_medium|47|80000,cantilever_gpu_medium,47,0.08,high_r50,1,0.001,1e-03,1,0,38.85081050000008,1,0.001,1e-12;1e-03,1,1,132,7.060617023585682e-07,113.40663140000002,True,True,False,TP
cantilever_gpu_medium|47|100000,cantilever_gpu_medium,47,0.1,high_r50,1,0.001,1e-03,1,0,40.18662479998602,1,0.001,1e-12;1e-03,1,1,127,8.681965358501927e-07,96.5289521,True,True,False,TP
cantilever_gpu_medium|47|120000,cantilever_gpu_medium,47,0.12,high_r50,1,0.001,1e-03,1,0,39.0796965000045,1,0.001,1e-12;1e-03,1,1,123,7.063299385817566e-07,94.9122331,True,True,False,TP
cantilever_gpu_medium|47|150000,cantilever_gpu_medium,47,0.15,high_r50,1,0.001,1e-03,1,0,41.44047870000213,1,0.001,1e-12;1e-03,1,1,105,5.555973744586894e-07,93.03071099999994,True,True,False,TP
cantilever_gpu_medium|47|180000,cantilever_gpu_medium,47,0.18,high_r50,1,0.001,1e-03,1,0,33.75739989998692,1,0.001,1e-12;1e-03,1,1,84,5.456964386035319e-07,88.74615089999998,True,True,False,TP
cantilever_gpu_medium|47|200000,cantilever_gpu_medium,47,0.2,high_r50,1,0.001,1e-03,1,0,31.73019390000991,1,0.001,1e-12;1e-03,1,1,69,8.64654329675505e-07,156.43593490000012,True,True,False,TP
cantilever_gpu_medium|47|250000,cantilever_gpu_medium,47,0.25,keep,0,1e-12,1e-12,1,0,60.07324170000357,0,1e-12,1e-12,1,1,158,4.135986154874854e-07,130.17792029999998,False,False,True,TN
cantilever_gpu_medium|47|300000,cantilever_gpu_medium,47,0.3,keep,0,1e-12,1e-12,1,0,22.17967079999653,0,1e-12,1e-12,1,1,54,8.435457861049207e-07,51.85175200000003,False,False,True,TN
cantilever_gpu_medium|47|350000,cantilever_gpu_medium,47,0.35,keep,0,0.001,1e-12;1e-03,1,1,41.09473150000122,1,0.001,1e-12;1e-03,1,1,29,3.253027486225312e-07,99.5444100000002,False,True,False,FN
cantilever_gpu_medium|53|80000,cantilever_gpu_medium,53,0.08,high_r50,1,0.001,1e-03,1,0,39.71661959998892,1,0.001,1e-12;1e-03,1,1,132,7.566955497664176e-07,294.2726844,True,True,False,TP
cantilever_gpu_medium|53|100000,cantilever_gpu_medium,53,0.1,high_r50,1,0.001,1e-03,1,0,39.679649300000165,1,0.001,1e-12;1e-03,1,1,130,6.251509547556467e-07,266.7432048999999,True,True,False,TP
cantilever_gpu_medium|53|120000,cantilever_gpu_medium,53,0.12,high_r50,1,0.001,1e-03,1,0,39.3013537999941,1,0.001,1e-12;1e-03,1,1,122,9.38397678707756e-07,106.81972629999972,True,True,False,TP
cantilever_gpu_medium|53|150000,cantilever_gpu_medium,53,0.15,high_r50,1,0.001,1e-03,1,0,40.653710699996736,1,0.001,1e-12;1e-03,1,1,100,9.921427908571554e-07,91.91084879999994,True,True,False,TP
cantilever_gpu_medium|53|180000,cantilever_gpu_medium,53,0.18,keep,0,1e-12,1e-12,1,0,77.3537576000017,0,1e-12,1e-12,1,1,276,9.595779526472945e-07,127.38525570000012,False,False,True,TN
cantilever_gpu_medium|53|200000,cantilever_gpu_medium,53,0.2,keep,0,1e-12,1e-12,1,0,59.35423279999668,0,1e-12,1e-12,1,1,155,9.294831617213772e-07,104.529449,False,False,True,TN
cantilever_gpu_medium|53|250000,cantilever_gpu_medium,53,0.25,keep,0,1e-12,1e-12,1,0,25.32730009999068,0,1e-12,1e-12,1,1,60,7.575725362723612e-07,44.63095459999988,False,False,True,TN
cantilever_gpu_medium|53|300000,cantilever_gpu_medium,53,0.3,keep,0,1e-12,1e-12,1,0,14.92512970000098,0,1e-12,1e-12,1,1,37,9.881096358888997e-07,29.602597999999944,False,False,True,TN
cantilever_gpu_medium|53|350000,cantilever_gpu_medium,53,0.35,keep,0,1e-12,1e-12,1,0,11.24169019999681,0,1e-12,1e-12,1,1,28,8.633741708032269e-07,22.41739199999961,False,False,True,TN
cantilever_gpu_medium|59|80000,cantilever_gpu_medium,59,0.08,high_r50,1,0.001,1e-03,1,0,38.77579199998581,1,0.001,1e-12;1e-03,1,1,130,8.041092057316517e-07,243.4849086,True,True,False,TP
cantilever_gpu_medium|59|100000,cantilever_gpu_medium,59,0.1,high_r50,1,0.001,1e-03,1,0,37.59516520000034,1,0.001,1e-12;1e-03,1,1,128,8.109223168909153e-07,214.9105696,True,True,False,TP
cantilever_gpu_medium|59|120000,cantilever_gpu_medium,59,0.12,high_r50,1,0.001,1e-03,1,0,37.60416570000234,1,0.001,1e-12;1e-03,1,1,119,8.838671839772532e-07,210.36034110000003,True,True,False,TP
cantilever_gpu_medium|59|150000,cantilever_gpu_medium,59,0.15,high_r50,1,0.001,1e-03,1,0,34.829572400012694,1,0.001,1e-12;1e-03,1,1,101,6.490524564216211e-07,206.67648010000005,True,True,False,TP
cantilever_gpu_medium|59|180000,cantilever_gpu_medium,59,0.18,high_r50,1,0.001,1e-03,1,0,33.248244099995645,1,0.001,1e-12;1e-03,1,1,79,9.481546694177036e-07,198.01993990000028,True,True,False,TP
cantilever_gpu_medium|59|200000,cantilever_gpu_medium,59,0.2,high_r50,1,0.001,1e-03,1,0,28.546541099989557,1,0.001,1e-12;1e-03,1,1,67,9.423703180160764e-07,193.1220277,True,True,False,TP
cantilever_gpu_medium|59|250000,cantilever_gpu_medium,59,0.25,high_r50,1,0.001,1e-03,1,0,25.57129950000672,1,0.001,1e-12;1e-03,1,1,46,5.15056889757898e-07,144.48928860000024,True,True,False,TP
cantilever_gpu_medium|59|300000,cantilever_gpu_medium,59,0.3,keep,0,0.001,1e-12;1e-03,1,1,53.79939220000233,1,0.001,1e-12;1e-03,1,1,34,8.182817167156548e-07,106.9550124,False,True,False,FN
cantilever_gpu_medium|59|350000,cantilever_gpu_medium,59,0.35,keep,0,1e-12,1e-12,1,0,10.327351799998723,0,1e-12,1e-12,1,1,28,1.7274404805024876e-07,22.323171100000536,False,False,True,TN
cantilever_gpu_medium|61|80000,cantilever_gpu_medium,61,0.08,high_r50,1,0.001,1e-03,1,0,41.64423389999865,1,0.001,1e-12;1e-03,1,1,123,8.098478174848826e-07,241.2250418,True,True,False,TP
cantilever_gpu_medium|61|100000,cantilever_gpu_medium,61,0.1,high_r50,1,0.001,1e-03,1,0,40.98383389999799,1,0.001,1e-12;1e-03,1,1,126,7.011482360304674e-07,215.2676948,True,True,False,TP
cantilever_gpu_medium|61|120000,cantilever_gpu_medium,61,0.12,high_r50,1,0.001,1e-03,1,0,37.40492549999908,1,0.001,1e-12;1e-03,1,1,121,6.372198442840104e-07,213.162021,True,True,False,TP
cantilever_gpu_medium|61|150000,cantilever_gpu_medium,61,0.15,high_r50,1,0.001,1e-03,1,0,34.91394040000159,1,0.001,1e-12;1e-03,1,1,104,6.986026092030883e-07,206.96148260000015,True,True,False,TP
cantilever_gpu_medium|61|180000,cantilever_gpu_medium,61,0.18,keep,0,1e-12,1e-12,1,0,68.02926899999875,0,1e-12,1e-12,1,1,250,9.548927180520383e-07,147.49134800000013,False,False,True,TN
cantilever_gpu_medium|61|200000,cantilever_gpu_medium,61,0.2,keep,0,1e-12,1e-12,1,0,46.24361370001134,0,1e-12,1e-12,1,1,149,8.334248693816855e-07,102.33500159999971,False,False,True,TN
cantilever_gpu_medium|61|250000,cantilever_gpu_medium,61,0.25,keep,0,1e-12,1e-12,1,0,19.093556600004376,0,1e-12,1e-12,1,1,53,7.823413376303205e-07,42.17812739999977,False,False,True,TN
cantilever_gpu_medium|61|300000,cantilever_gpu_medium,61,0.3,keep,0,1e-12,1e-12,1,0,12.803543299989542,0,1e-12,1e-12,1,1,36,4.209375714971165e-07,28.835917599999902,False,False,True,TN
cantilever_gpu_medium|61|350000,cantilever_gpu_medium,61,0.35,keep,0,1e-12,1e-12,1,0,9.5637249999927,0,1e-12,1e-12,1,1,27,4.484030305104961e-07,21.4325087000002,False,False,True,TN
cantilever_gpu_medium|67|80000,cantilever_gpu_medium,67,0.08,high_r50,1,0.001,1e-03,1,0,45.62688660000276,1,0.001,1e-12;1e-03,1,1,127,7.45005658283878e-07,244.41051400000003,True,True,False,TP
cantilever_gpu_medium|67|100000,cantilever_gpu_medium,67,0.1,high_r50,1,0.001,1e-03,1,0,42.09991319999972,1,0.001,1e-12;1e-03,1,1,124,9.468431077627988e-07,187.1413357000001,True,True,False,TP
cantilever_gpu_medium|67|120000,cantilever_gpu_medium,67,0.12,high_r50,1,0.001,1e-03,1,0,40.05983560000459,1,0.001,1e-12;1e-03,1,1,118,8.717195632514764e-07,200.77388940000012,True,True,False,TP
cantilever_gpu_medium|67|150000,cantilever_gpu_medium,67,0.15,high_r50,1,0.001,1e-03,1,0,34.09990530000505,1,0.001,1e-12;1e-03,1,1,100,7.11488598898733e-07,206.6131849,True,True,False,TP
cantilever_gpu_medium|67|180000,cantilever_gpu_medium,67,0.18,high_r50,1,0.001,1e-03,1,0,30.87063360001048,1,0.001,1e-12;1e-03,1,1,80,8.441516957133428e-07,199.15528830000005,True,True,False,TP
cantilever_gpu_medium|67|200000,cantilever_gpu_medium,67,0.2,keep,0,1e-12,1e-12,1,0,55.786704300000565,0,1e-12,1e-12,1,1,197,8.213768735618896e-07,124.19170329999996,False,False,True,TN
cantilever_gpu_medium|67|250000,cantilever_gpu_medium,67,0.25,keep,0,1e-12,1e-12,1,0,26.289094999992813,0,1e-12,1e-12,1,1,64,8.76539079124895e-07,51.66712940000025,False,False,True,TN
cantilever_gpu_medium|67|300000,cantilever_gpu_medium,67,0.3,keep,0,1e-12,1e-12,1,0,13.622067599993898,0,1e-12,1e-12,1,1,37,7.255463247450563e-07,29.619859500000075,False,False,True,TN
cantilever_gpu_medium|67|350000,cantilever_gpu_medium,67,0.35,keep,0,1e-12,1e-12,1,0,10.467303299992636,0,1e-12,1e-12,1,1,29,5.80630407779985e-07,23.293607399999928,False,False,True,TN
cantilever_gpu_medium|71|80000,cantilever_gpu_medium,71,0.08,high_r50,1,0.001,1e-03,1,0,38.33810980000271,1,0.001,1e-12;1e-03,1,1,125,6.615378650504936e-07,242.29488680000003,True,True,False,TP
cantilever_gpu_medium|71|100000,cantilever_gpu_medium,71,0.1,high_r50,1,0.001,1e-03,1,0,39.29470470000524,1,0.001,1e-12;1e-03,1,1,124,9.631411700757436e-07,215.8890565,True,True,False,TP
cantilever_gpu_medium|71|120000,cantilever_gpu_medium,71,0.12,high_r50,1,0.001,1e-03,1,0,43.15373729999556,1,0.001,1e-12;1e-03,1,1,120,7.359586633933075e-07,214.3539737000001,True,True,False,TP
cantilever_gpu_medium|71|150000,cantilever_gpu_medium,71,0.15,high_r50,1,0.001,1e-03,1,0,38.29520410000259,1,0.001,1e-12;1e-03,1,1,100,8.667448133498596e-07,206.6888421000001,True,True,False,TP
cantilever_gpu_medium|71|180000,cantilever_gpu_medium,71,0.18,high_r50,1,0.001,1e-03,1,0,32.070344499989005,1,0.001,1e-12;1e-03,1,1,80,6.475956233859071e-07,133.37924629999986,True,True,False,TP
cantilever_gpu_medium|71|200000,cantilever_gpu_medium,71,0.2,plateau,1,0.001,1e-03,1,0,28.540087499997757,1,0.001,1e-12;1e-03,1,1,67,5.467870766160991e-07,89.68770210000025,True,True,False,TP
cantilever_gpu_medium|71|250000,cantilever_gpu_medium,71,0.25,high_r50,1,0.001,1e-03,1,0,25.132344000005105,1,0.001,1e-12;1e-03,1,1,45,4.57901403747633e-07,53.46385460000033,True,True,False,TP
cantilever_gpu_medium|71|300000,cantilever_gpu_medium,71,0.3,keep,0,0.001,1e-12;1e-03,1,1,42.18586999999388,1,0.001,1e-12;1e-03,1,1,33,8.291825085138085e-07,41.89030129999992,False,True,False,FN
cantilever_gpu_medium|71|350000,cantilever_gpu_medium,71,0.35,keep,0,0.001,1e-12;1e-03,1,1,30.72694619998947,1,0.001,1e-12;1e-03,1,1,27,5.147638642608689e-07,29.842656500000203,False,True,False,FN
bridge_gpu_medium|41|100000,bridge_gpu_medium,41,0.1,high_r50,1,0.001,0.001,1,0,54.3812476000021,1,0.001,1e-12;1e-03,1,1,199,6.692940495775488e-07,127.3374754,True,True,False,TP
bridge_gpu_medium|41|150000,bridge_gpu_medium,41,0.15,high_r50,1,0.001,0.001,1,0,49.61645059999864,1,0.001,1e-12;1e-03,1,1,167,7.892942167610502e-07,103.1212338,True,True,False,TP
bridge_gpu_medium|41|200000,bridge_gpu_medium,41,0.2,high_r50,1,0.001,0.001,1,0,46.37519160000375,1,0.001,1e-12;1e-03,1,1,117,7.43346094406203e-07,94.9078188,True,True,False,TP
bridge_gpu_medium|41|250000,bridge_gpu_medium,41,0.25,high_r50,1,0.001,0.001,1,0,35.72416690000682,1,0.001,1e-12;1e-03,1,1,84,9.221839551870574e-07,90.90053280000006,True,True,False,TP
bridge_gpu_medium|41|300000,bridge_gpu_medium,41,0.3,high_r50,1,0.001,0.001,1,0,31.166791699994064,1,0.001,1e-12;1e-03,1,1,65,6.009861074325704e-07,87.59251569999998,True,True,False,TP
bridge_gpu_medium|41|350000,bridge_gpu_medium,41,0.35,high_r50,1,0.001,0.001,1,0,26.885211799999524,1,0.001,1e-12;1e-03,1,1,55,8.724463766188316e-07,87.42597650000005,True,True,False,TP
bridge_gpu_medium|43|100000,bridge_gpu_medium,43,0.1,high_r50,1,0.001,0.001,1,0,51.603137300000526,1,0.01,1e-12;1e-03;1e-02,1,1,196,9.73559614116163e-07,171.5090998,True,True,False,TP
bridge_gpu_medium|43|150000,bridge_gpu_medium,43,0.15,high_r50,1,0.001,0.001,1,0,48.005105999996886,1,0.01,1e-12;1e-03;1e-02,1,1,197,9.671471890757002e-07,156.24879710000005,True,True,False,TP
bridge_gpu_medium|43|200000,bridge_gpu_medium,43,0.2,high_r50,1,0.001,0.001,1,0,44.1508759999997,1,0.01,1e-12;1e-03;1e-02,1,1,180,5.878724562016424e-07,152.2919679000001,True,True,False,TP
bridge_gpu_medium|43|250000,bridge_gpu_medium,43,0.25,high_r50,1,0.001,0.001,1,0,36.025986900000134,1,0.001,1e-12;1e-03,1,1,252,6.916306238480469e-07,120.89634100000006,True,True,False,TP
bridge_gpu_medium|43|300000,bridge_gpu_medium,43,0.3,high_r50,1,0.001,0.001,1,0,43.427974800011725,1,0.001,1e-12;1e-03,1,1,177,6.397420033614626e-07,106.3846436,True,True,False,TP
bridge_gpu_medium|43|350000,bridge_gpu_medium,43,0.35,high_r50,1,0.001,0.001,1,0,55.58115060000273,1,0.001,1e-12;1e-03,1,1,150,5.490940333036164e-07,100.953355,True,True,False,TP
bridge_gpu_medium|47|100000,bridge_gpu_medium,47,0.1,high_r50,1,0.001,0.001,1,0,79.30867219998618,1,0.01,1e-12;1e-03;1e-02,1,1,184,5.738126806222052e-07,171.6510072,True,True,False,TP
bridge_gpu_medium|47|150000,bridge_gpu_medium,47,0.15,high_r50,1,0.001,0.001,1,0,70.79785059999267,1,0.01,1e-12;1e-03;1e-02,1,1,184,5.411373085935384e-07,156.38262039999995,True,True,False,TP
bridge_gpu_medium|47|200000,bridge_gpu_medium,47,0.2,high_r50,1,0.001,0.001,1,0,50.50419220000185,1,0.01,1e-12;1e-03;1e-02,1,1,170,9.2821949749025e-07,154.0534009,True,True,False,TP
bridge_gpu_medium|47|250000,bridge_gpu_medium,47,0.25,high_r50,1,0.001,0.001,1,0,68.76375869999174,1,0.001,1e-12;1e-03,1,1,260,7.121251684920102e-07,119.64972090000008,True,True,False,TP
bridge_gpu_medium|47|300000,bridge_gpu_medium,47,0.3,high_r50,1,0.001,0.001,1,0,60.55077049999818,1,0.001,1e-12;1e-03,1,1,200,8.676678295281816e-07,108.7748385,True,True,False,TP
bridge_gpu_medium|47|350000,bridge_gpu_medium,47,0.35,high_r50,1,0.001,0.001,1,0,57.34879609999916,1,0.001,1e-12;1e-03,1,1,161,7.483197143072673e-07,103.18269969999994,True,True,False,TP
bridge_gpu_medium|53|100000,bridge_gpu_medium,53,0.1,high_r50,1,0.001,0.001,1,0,106.35398220000206,1,0.001,1e-12;1e-03,1,1,240,7.361249142155961e-07,132.27170210000003,True,True,False,TP
bridge_gpu_medium|53|150000,bridge_gpu_medium,53,0.15,high_r50,1,0.001,0.001,1,0,70.82410900000832,1,0.001,1e-12;1e-03,1,1,205,8.738912496843242e-07,108.9703122,True,True,False,TP
bridge_gpu_medium|53|200000,bridge_gpu_medium,53,0.2,high_r50,1,0.001,0.001,1,0,76.10799339999357,1,0.001,1e-12;1e-03,1,1,142,6.430335822765806e-07,98.52004759999996,True,True,False,TP
bridge_gpu_medium|53|250000,bridge_gpu_medium,53,0.25,high_r50,1,0.001,0.001,1,0,62.66093729999557,1,0.001,1e-12;1e-03,1,1,97,5.170854848484453e-07,127.76230350000004,True,True,False,TP
bridge_gpu_medium|53|300000,bridge_gpu_medium,53,0.3,high_r50,1,0.001,0.001,1,0,37.525180899996485,1,0.001,1e-12;1e-03,1,1,77,6.274029036485819e-07,189.7988456999999,True,True,False,TP
bridge_gpu_medium|53|350000,bridge_gpu_medium,53,0.35,high_r50,1,0.001,0.001,1,0,27.51502079999773,1,0.001,1e-12;1e-03,1,1,60,7.333971053215693e-07,184.0863193999999,True,True,False,TP
bridge_gpu_medium|59|100000,bridge_gpu_medium,59,0.1,high_r50,1,0.001,0.001,1,0,50.84242490000906,1,0.001,1e-12;1e-03,1,1,189,5.805703268389383e-07,259.67613930000005,True,True,False,TP
bridge_gpu_medium|59|150000,bridge_gpu_medium,59,0.15,high_r50,1,0.001,0.001,1,0,45.36546020000242,1,0.001,1e-12;1e-03,1,1,160,7.471872609901871e-07,220.9527505,True,True,False,TP
bridge_gpu_medium|59|200000,bridge_gpu_medium,59,0.2,high_r50,1,0.001,0.001,1,0,38.39231960000325,1,0.001,1e-12;1e-03,1,1,111,6.323825336399294e-07,203.5372917,True,True,False,TP
bridge_gpu_medium|59|250000,bridge_gpu_medium,59,0.25,high_r50,1,0.001,0.001,1,0,31.679513300005052,1,0.001,1e-12;1e-03,1,1,72,6.625699716923934e-07,189.24273359999995,True,True,False,TP
bridge_gpu_medium|59|300000,bridge_gpu_medium,59,0.3,high_r50,1,0.001,0.001,1,0,27.187268499998027,1,0.001,1e-12;1e-03,1,1,54,7.138463777546161e-07,119.99379710000004,True,True,False,TP
bridge_gpu_medium|59|350000,bridge_gpu_medium,59,0.35,high_r50,1,0.001,0.001,1,0,25.82732639998721,1,0.001,1e-12;1e-03,1,1,45,1.4574837769894666e-07,109.3072479,True,True,False,TP
